acronym	ontology_name	acceptance_score	match_count	coverage	names	class_counts	number_of_releases	first_release_year	last_release_year	overlap	covergae_rank	overlap_rank	rank	url
PCALION	Prostate Cancer Lifestyle Ontology	183	21	0.04329896907	income#dairy product#education#vitamin#egg#fruit#living environment#xenobiotics#alcohol consumption#sleep#physical activity#leisure time#energy#beverage#radiation#calorie#food additive#legume#occupational exposure#vegetable#occupation	397	6	2019	2020	0.05289672544	13	1	1	https://bioportal.bioontology.org/ontologies/PCALION
MESH	Medical Subject Headings	887	138	0.2845360825	recreational drug#delta sleep#household activities#plastic surgery#psychological interventions#leisure#cereals#drugs#REM sleep#education#sleep habits#social conditions#education level#caloric intake#household work#sleeping habits#economic status#slow-wave sleep#alcohol consumption#food containers#sleep#socioeconomic status#cereal#beverage#seeds#personal care products#heavy metal poisoning#opioid#tobacco#hallucinogen#micronutrient#sleep stage#smoking#working conditions#occupational exposure#oral health#food#performance-enhancing substance#economic factors#food packaging#dietary carbohydrate#prebiotic#dental hygiene#vegetable oil#ionizing radiation#food supplement#dietary fiber#opiate#phytonutrient#organic food#egg#household activity#performance-enhancing drug#gambling#social factors#socioeconomic factors#fruit#psychoanalytic therapy#food habit#dietary fat#social environment#physical inactivity#paradoxical sleep#sedentary lifestyle#drug dependence#performance enhancing substance#meditation#mobile phone use#illegal drug#pesticide residues#illicit drug#housework#sleep duration#occupational activity#athlete#dream#income#radiation exposure#social context#wage#vitamin#literacy#sleep quality#substance addiction#housing#cognitive behavioral therapy#environmental exposures#eating behavior#oral hygiene#drug addiction#dietary habits#cereal grains#macronutrient#physical activity#deep sleep#dioxin#salary#genetically modified food#convenience food#radiation#meat#food additive#cosmetic surgery#hand hygiene#calorie intake#vegetable#psychotherapy#dairy product#housing condition#electromagnetic radiation#water#physical fitness#malnutrition#social networking#dental implant#phytochemical#drinking water#GMO food#sweetener#hygiene#xenobiotics#sports#sleep quantity#occupational status#sanitation#processed foods#aerobic exercise#physical activities#physical exercise#video games#eating habits#processed food#legume#nuts#team sport#steroid#social status#occupation	349665	25	2009	2022	0.0003946634636	1	38	1	https://bioportal.bioontology.org/ontologies/MESH
DILON	Dietary lifestyle ontology	0.19	11	0.02268041237	vitamin#meat#egg#malnutrition#legume#fruit#beverage#smoking#sweetener#cereal#vegetable	262	2	2021	2021	0.04198473282	24	2	2	https://bioportal.bioontology.org/ontologies/DILON
MDM	Mapping of Drug Names and MeSH 2022	277	132	0.2721649485	recreational drug#delta sleep#household activities#plastic surgery#psychological interventions#leisure#cereals#drugs#REM sleep#education#sleep habits#social conditions#caloric intake#household work#sleeping habits#economic status#slow-wave sleep#alcohol consumption#food containers#sleep#socioeconomic status#cereal#beverage#seeds#personal care products#opioid#heavy metal poisoning#tobacco#hallucinogen#micronutrient#sleep stage#smoking#occupational exposure#oral health#food#performance-enhancing substance#economic factors#food packaging#dietary carbohydrate#prebiotic#dental hygiene#vegetable oil#ionizing radiation#food supplement#dietary fiber#opiate#phytonutrient#organic food#egg#household activity#performance-enhancing drug#gambling#social factors#socioeconomic factors#fruit#psychoanalytic therapy#food habit#dietary fat#social environment#physical inactivity#paradoxical sleep#sedentary lifestyle#drug dependence#performance enhancing substance#meditation#mobile phone use#illegal drug#pesticide residues#illicit drug#housework#athlete#dream#income#radiation exposure#social context#wage#vitamin#literacy#sleep quality#substance addiction#housing#cognitive behavioral therapy#environmental exposures#eating behavior#oral hygiene#drug addiction#dietary habits#cereal grains#macronutrient#physical activity#deep sleep#dioxin#salary#genetically modified food#convenience food#radiation#meat#food additive#cosmetic surgery#hand hygiene#calorie intake#vegetable#psychotherapy#dairy product#housing condition#electromagnetic radiation#water#physical fitness#malnutrition#social networking#dental implant#phytochemical#drinking water#GMO food#sweetener#hygiene#xenobiotics#sports#occupational status#sanitation#aerobic exercise#physical activities#physical exercise#video games#alcohol#eating habits#legume#nuts#team sport#steroid#social status#occupation	44789	5	2021	2022	0.002947152203	2	18	2	https://bioportal.bioontology.org/ontologies/MDM
EXMO	Exercise Medicine Ontology	0	11	0.02268041237	physical fitness#athlete#anaerobic exercise#sleep#aerobic exercise#physical activity#energy#physical exercise#type of exercise#vigorous physical activity#vigorous-intensity activity	407	2	2022	2022	0.02702702703	23	3	3	https://bioportal.bioontology.org/ontologies/EXMO
NCIT	National Cancer Institute Thesaurus	895	91	0.187628866	recreational drug#plastic surgery#supplement#leisure#REM sleep#education#education level#caloric intake#alcohol consumption#sleep#socioeconomic status#beverage#seeds#opioid#tobacco#hallucinogen#micronutrient#sleep stage#smoking#occupational exposure#food#dietary carbohydrate#dental hygiene#drinker#ionizing radiation#dietary fiber#opiate#chemical exposure#organic food#egg#household activity#socioeconomic factors#fruit#exposure to radiation#dietary fat#genetically engineered#environmental factors#energy#sedentary lifestyle#drug dependence#meditation#housework#dream#income#smoking frequency#nutrition#radiation exposure#watching TV#rapid eye movement sleep#wage#vitamin#literacy#sleep quality#housing#environmental exposures#oral hygiene#macronutrient#physical activity#leisure time#CBT#dioxin#radiation#meat#cosmetic surgery#alcohol use#smoking tobacco#vegetable#recreational activities#household wealth#psychotherapy#dairy product#blue-collar#electromagnetic radiation#water#malnutrition#social networking#dental implant#phytochemical#drinking water#sweetener#hygiene#sports#bedtime#aerobic exercise#alcohol#household income#calorie#socializing#dietary mineral#steroid#occupation	184509	132	2007	2023	0.0004932008737	3	35	3	https://bioportal.bioontology.org/ontologies/NCIT
SNOMEDCT	SNOMED CT	966	81	0.1670103093	lack of physical exercise#exposed to vibration#plastic surgery#sugar intake#REM sleep#education#economic status#exposure to ionizing radiation#traveling#sleep#cereal#exposure to vibration#seeds#pesticide poisoning#tobacco#hallucinogen#psychoactive substance#smoking#food#dental hygiene#vegetable oil#ionizing radiation#NREM sleep#chemical poisoning#organic food#gambling#fruit#exposure to radiation#travelling#paradoxical sleep#sedentary lifestyle#drug dependence#mental health care#housework#occupational activity#dream#nutrition#cognitive-behavior therapy#social context#rapid eye movement sleep#cognitive-behaviour therapy#vitamin#oral hygiene#drug addiction#physical activity#deep sleep#dioxin#convenience food#radiation#meat#food additive#cosmetic surgery#calorie intake#vegetable#psychotherapy#mineral supplement#electromagnetic radiation#water#malnutrition#physical environment#phytochemical#drinking water#religiosity#sports#vitamin intake#bedtime#fish intake#physical exercise#pet ownership#household income#alcohol#drinking alcohol#processed food#calorie#active sleep#legume#toxic chemical#financial status#steroid#social status#occupation	365176	26	2009	2022	0.0002218108528	4	48	4	https://bioportal.bioontology.org/ontologies/SNOMEDCT
BERO	Biological and Environmental Research Ontology	272	63	0.1298969072	dairy#dietary carbohydrate#dental hygiene#nutrition#ionizing radiation#radiation exposure#dairy product#leisure#drugs#dietary fiber#electromagnetic radiation#water#vitamin#opiate#physical fitness#phytonutrient#organic food#egg#malnutrition#chemical exposure#steroid#housing#fruit#dental implant#phytochemical#drinking water#toxic agent#eating behavior#hygiene#oral hygiene#sweetener#xenobiotics#sports#sanitation#pesticide residues#pesticide exposure#sleep#macronutrient#physical activity#energy#video games#alcohol#dioxin#paradoxical sleep#beverage#eating behaviour#seeds#opioid#tobacco#radiation#meat#food additive#drug dependence#hallucinogen#micronutrient#nuts#dietary mineral#hand hygiene#smoking tobacco#occupational exposure#food#vegetable#environmental condition	392307	3	2022	2022	0.0001605885187	5	51	5	https://bioportal.bioontology.org/ontologies/BERO
CRISP	Computer Retrieval of Information on Scientific Projects Thesaurus	0.77	60	0.1237113402	dietary carbohydrate#occupational activity#dream#income#psychotherapy#nutrition#vegetable oil#ionizing radiation#plastic surgery#dairy product#leisure#REM sleep#education#dietary fiber#rapid eye movement sleep#electromagnetic radiation#water#vitamin#oral health#physical fitness#literacy#malnutrition#gambling#steroid#housing#fruit#dental implant#drinking water#sports#drug addiction#sanitation#food chain contamination#dietary fat#sleep#social environment#aerobic exercise#CBT#alcohol#drinking alcohol#dioxin#beverage#paradoxical sleep#salary#tobacco#radiation#meat#food additive#cosmetic surgery#dental health#drug dependence#hallucinogen#legume#dietary mineral#meditation#smoking tobacco#smoking#food#vegetable#social status#occupation	9039	21	2013	2022	0.006637902423	6	10	6	https://bioportal.bioontology.org/ontologies/CRISP
LOINC	Logical Observation Identifier Names and Codes	889	55	0.1134020619	occupational activity#nutrition#plastic surgery#psychological therapy#dairy product#activity intensity#leisure#education#drugs#watching TV#job position#water#vitamin#oral health#chemical exposure#egg#malnutrition#housing#outdoor activity#fruit#drinking water#activity level#sweetener#hygiene#sports#exercise activity#watching television#sleep#aerobic exercise#physical activity#energy#alcohol#dioxin#pesticide poisoning#opioid#heavy metal poisoning#vigorous physical activity#tobacco#radiation#personal hygiene#anaerobic exercise#eating patterns#alcohol use#legume#social life#oral care#calorie intake#listening to music#smoking tobacco#occupational exposure#illegal drug#food#smoking#sleep duration#occupation	283805	24	2009	2022	0.0001937950353	7	50	7	https://bioportal.bioontology.org/ontologies/LOINC
RCD	Read Codes, Clinical Terms Version 3 (CTV3)	878	38	0.07835051546	occupational activity#psychotherapy#nutrition#vegetable oil#sugar intake#housework#water#vitamin#organic food#egg#malnutrition#physical environment#fruit#phytochemical#sports#vitamin intake#alcohol consumption#sleep#fish intake#energy#cereal#pet ownership#alcohol#dioxin#household income#seeds#opioid#processed food#convenience food#tobacco#radiation#meat#food additive#calorie#hallucinogen#smoking#food#vegetable	140065	21	2013	2022	0.0002713026095	8	42	8	https://bioportal.bioontology.org/ontologies/RCD
MEDLINEPLUS	MedlinePlus Health Topics	848	21	0.04329896907	occupational activity#nutrition#radiation exposure#carbs#cleaning products#drugs#dietary fiber#water#vitamin#physical fitness#oral health#malnutrition#gambling#drinking water#alcohol consumption#alcohol#sedentary lifestyle#cosmetic surgery#dental health#smoking#food	2254	20	2013	2022	0.009316770186	14	8	8	https://bioportal.bioontology.org/ontologies/MEDLINEPLUS
HSPO	Health & Social Person-centric Ontology	0	34	0.07010309278	drug usage#radiation exposure#social context#drugs#sleep time#water#vitamin#malnutrition#gambling#sleep quality#housing#fruit#sweetener#xenobiotics#caloric intake#drug addiction#alcohol consumption#sleep#physical activity#sleep depth#physical activities#CBT#alcohol#dioxin#household income#heavy metal toxicity#eating behaviour#heavy metal poisoning#tobacco#drug dependence#micronutrient#smoking#steroid#sleep duration	40645	2	2023	2023	0.000836511256	9	30	9	https://bioportal.bioontology.org/ontologies/HSPO
GSSO	Gender, Sex, and Sexual Orientation Ontology	0	32	0.06597938144	recreational drug#athlete#dream#psychotherapy#plastic surgery#leisure#education#wage#religious practice#chemical exposure#literacy#social networking#performance-enhancing drug#substance addiction#housing#cognitive behavioral therapy#hygiene#drug addiction#food#socioeconomic status#drinking culture#physical activity#alcohol#salary#beverage#electronic game#drug dependence#personal hygiene#alcohol use#steroid#social status#performance-enhancing substance	13192	74	2019	2022	0.002425712553	10	21	10	https://bioportal.bioontology.org/ontologies/GSSO
CRENO	Culture, Race, Ethnicity and Nationality Ontology	0	7	0.01443298969	tobacco#radiation#housing#meditation#education#salary#occupation	1106	1	2023	2023	0.006329113924	38	11	11	https://bioportal.bioontology.org/ontologies/CRENO
HHEAR	Human Health Exposure Analysis Resource	252	22	0.04536082474	radiation exposure#education#drugs#water#vitamin#oral health#chemical exposure#toxic agent#drinking water#socioeconomic status#macronutrient#physical activity#energy#alcohol#household income#beverage#food additive#drug dependence#micronutrient#alcohol use#steroid#occupation	45347	13	2019	2023	0.0004851478598	12	36	12	https://bioportal.bioontology.org/ontologies/HHEAR
COSTART	Coding Symbols for a Thesaurus of Adverse Reaction Terms	747	9	0.01855670103	vitamin#occupational activity#drug dependence#dream#sleep#alcohol#food#drug addiction#water	1707	21	2013	2022	0.005272407733	32	13	13	https://bioportal.bioontology.org/ontologies/COSTART
DREAMDNPTO	Dementia-Related Emotional And Mood Disturbance Non-Pharmacological Treatment Ontology	174	6	0.01237113402	bedtime#malnutrition#psychotherapy#watching television#aerobic exercise#card game	1258	1	2022	2022	0.004769475358	45	15	15	https://bioportal.bioontology.org/ontologies/DREAMDNPTO
MEDDRA	Medical Dictionary for Regulatory Activities Terminology (MedDRA)	1	20	0.0412371134	occupational activity#psychotherapy#radiation exposure#plastic surgery#chemical poisoning#vitamin#chemical exposure#malnutrition#gambling#exposure to radiation#cognitive behavioral therapy#oral hygiene#drug addiction#exposure to toxic agent#pesticide poisoning#heavy metal poisoning#drug dependence#personal hygiene#alcohol use#food	78245	21	2013	2022	0.0002556073871	15	44	15	https://bioportal.bioontology.org/ontologies/MEDDRA
MAXO	Medical Action Ontology	0.21	20	0.0412371134	psychotherapy#plastic surgery#dairy product#drugs#vitamin#egg#fruit#toxic agent#cognitive behavioral therapy#sweetener#food#macronutrient#aerobic exercise#alcohol#radiation#food additive#micronutrient#legume#steroid#vegetable	13938	48	2020	2023	0.001434926101	16	27	16	https://bioportal.bioontology.org/ontologies/MAXO
WHO-ART	World Health Organization (WHO) Adverse Reaction Terminology	786	5	0.01030927835	vitamin#occupational activity#drug dependence#food#drug addiction	1851	21	2013	2022	0.002701242572	53	19	19	https://bioportal.bioontology.org/ontologies/WHO-ART
NDFRT	National Drug File - Reference Terminology	891	13	0.02680412371	vitamin#phytonutrient#egg#occupational activity#malnutrition#gambling#vegetable oil#alcohol#dental implant#phytochemical#drinking water#food#water	36202	13	2008	2018	0.0003590961825	19	40	19	https://bioportal.bioontology.org/ontologies/NDFRT
CIDO	Coronavirus Infectious Disease Ontology	246	13	0.02680412371	vitamin#food additive#malnutrition#micronutrient#alcohol#macronutrient#toxic agent#eating behavior#xenobiotics#drugs#steroid#eating behaviour#water	31620	40	2020	2023	0.0004111321948	20	37	20	https://bioportal.bioontology.org/ontologies/CIDO
NIO	Neuropsychological Integrative Ontology	0.12	7	0.01443298969	alcohol consumption#sleeping behavior#eating behavior#REM sleep#paradoxical sleep#rapid eye movement sleep#eating behaviour	3303	2	2020	2020	0.002119285498	36	23	23	https://bioportal.bioontology.org/ontologies/NIO
ICPC2P	International Classification of Primary Care - 2 PLUS	769	8	0.01649484536	vitamin#occupational activity#drug dependence#malnutrition#psychotherapy#cognitive behavioral therapy#food#drug addiction	7537	21	2013	2022	0.001061430277	35	28	28	https://bioportal.bioontology.org/ontologies/ICPC2P
MEPO	Mapping of Epilepsy Ontologies	163	5	0.01030927835	alcohol consumption#dream#environmental factors#sleep stage#deep sleep	5687	6	2020	2021	0.0008791981713	54	29	29	https://bioportal.bioontology.org/ontologies/MEPO
PMAPP-PMO	PMO Precision Medicine Ontology	217	9	0.01855670103	malnutrition#sleep#heavy metal poisoning#drinking water#eating behavior#xenobiotics#pesticide residues#dietary fiber#water	76155	1	2020	2020	0.0001181800276	30	52	30	https://bioportal.bioontology.org/ontologies/PMAPP-PMO
ICD10	International Classification of Diseases, Version 10	839	8	0.01649484536	vitamin#occupational activity#malnutrition#lack of physical exercise#alcohol use#exposure to radiation#gambling and betting#food	12445	21	2013	2022	0.0006428284452	34	32	32	https://bioportal.bioontology.org/ontologies/ICD10
TXPO	Toxic Process Ontology	174	6	0.01237113402	vitamin#steroid#toxic agent#xenobiotics#drugs#alcohol	9407	6	2020	2022	0.0006378228978	44	33	33	https://bioportal.bioontology.org/ontologies/TXPO
VANDF	Veterans Health Administration National Drug File	856	8	0.01649484536	vitamin#tobacco#egg#occupational activity#vegetable oil#alcohol#food#water	30290	21	2013	2022	0.0002641135688	33	43	33	https://bioportal.bioontology.org/ontologies/VANDF
PDQ	Physician Data Query	737	7	0.01443298969	vitamin#occupational activity#malnutrition#alcohol#meditation#phytochemical#food	13452	23	2007	2022	0.0005203687184	40	34	34	https://bioportal.bioontology.org/ontologies/PDQ
HOIP	Homeostasis imbalance process ontology	285	5	0.01030927835	vitamin#alcohol#toxic agent#xenobiotics#steroid	13389	34	2020	2023	0.0003734408843	57	39	39	https://bioportal.bioontology.org/ontologies/HOIP
NDDF	National Drug Data File	917	7	0.01443298969	vitamin#egg#occupational activity#vegetable oil#alcohol#food#water	31361	21	2013	2022	0.0002232071681	39	47	39	https://bioportal.bioontology.org/ontologies/NDDF
ICD9CM	International Classification of Diseases, Version 9 - Clinical Modification	814	7	0.01443298969	vitamin#occupational activity#drug dependence#lack of physical exercise#exposure to radiation#gambling and betting#food	22533	23	2008	2022	0.0003106554831	41	41	41	https://bioportal.bioontology.org/ontologies/ICD9CM
OMIM	Online Mendelian Inheritance in Man	835	7	0.01443298969	vitamin#occupational activity#malnutrition#dream#CBT#food#drug addiction	103087	23	2007	2022	6.79E-05	42	54	42	https://bioportal.bioontology.org/ontologies/OMIM
MIDO	Medical Imaging and Diagnostic Ontology	183	5	0.01030927835	calorie#aerobic exercise#physical activity#activity level#physical exercise	51838	1	2022	2022	9.65E-05	56	53	53	https://bioportal.bioontology.org/ontologies/MIDO
PLANP	Planarian Phenotype Ontology	163	4	0.00824742268	eating behaviour#sleep#eating behavior#egg	3562	5	2019	2020	0	61	113	61	https://bioportal.bioontology.org/ontologies/PLANP
HCPCS	Healthcare Common Procedure Coding System	797	4	0.00824742268	vitamin#food#drugs#occupational activity	7262	21	2013	2022	0	63	111	63	https://bioportal.bioontology.org/ontologies/HCPCS
NCBITAXON	National Center for Biotechnology Information (NCBI) Organismal Classification	842	4	0.00824742268	vitamin#food#tobacco#occupational activity	2062781	21	2008	2022	0	64	109	64	https://bioportal.bioontology.org/ontologies/NCBITAXON
RXNORM	RxNORM	0.95	4	0.00824742268	vitamin#food#occupational activity#water	107254	24	2009	2022	0	67	107	67	https://bioportal.bioontology.org/ontologies/RXNORM
FOBI	FOBI (Food-Biomarker Ontology)	174	2	0.00412371134	vegetable oil#cereal	1334	3	2020	2022	0	104	70	70	https://bioportal.bioontology.org/ontologies/FOBI
FIDEO	Food Interactions with Drugs Evidence Ontology	0	1	0.00206185567	beverage	3548	5	2020	2023	0	127	76	76	https://bioportal.bioontology.org/ontologies/FIDEO
CTO-NDD	Clinical Trials Ontology - Neurodegenerative Diseases	183	1	0.00206185567	drug addiction	377	1	2020	2020	0	120	77	77	https://bioportal.bioontology.org/ontologies/CTO-NDD
PACO	Physical Activity Ontology	261	1	0.00206185567	water	224	2	2019	2019	0	134	85	85	https://bioportal.bioontology.org/ontologies/PACO
DPCO	Diabetes Pharmacology Ontology	0.12	3	0.00618556701	alcohol use#sedentary lifestyle#occupation	273	2	2022	2022	0	86	132	86	https://bioportal.bioontology.org/ontologies/DPCO
FGNHNS	FoodGroupNHNS	0	1	0.00206185567	cereals	1780	11	2022	2022	0	128	91	91	https://bioportal.bioontology.org/ontologies/FGNHNS
TCDO	Traditional Chinese Drug Ontology	0.19	1	0.00206185567	fruit	1988	3	2020	2021	0	125	93	93	https://bioportal.bioontology.org/ontologies/TCDO
N-CDOH	Non Clinical Determinants of Health	0	1	0.00206185567	malnutrition	361	4	2023	2023	0	123	95	95	https://bioportal.bioontology.org/ontologies/N-CDOH
CDNO	Compositional Dietary Nutrition Ontology	163	2	0.00412371134	dietary fibre#water	2060	9	2022	2022	0	95	123	95	https://bioportal.bioontology.org/ontologies/CDNO
FOODON														