acronym	ontology_name	acceptance_score	match_count	coverage	names	class_counts	number_of_releases	first_release_year	last_release_year	overlap
LOINC	Logical Observation Identifier Names and Codes	0.5	57	0.11198428290766209	listening to music#diet#heavy metal poisoning#psychological therapy#activity level#pesticide poisoning#tobacco use#watching TV#oral health#outdoor activity#anaerobic exercise#eating patterns#employment status#vigorous physical activity#chemical exposure#occupational exposure#sleep#fluid intake#calorie intake#dioxin#exercise intensity#sleep duration#activity intensity#education#nutrition#malnutrition#fruits#smoking#energy#physical activity#radiation#exercise frequency#housing#employment#exercise activity#vegetables#sports#oral care#food#exercising#tobacco#illegal drug#smoking tobacco#plastic surgery#drug use#leisure#exercise type#smokeless tobacco#vitamin#job position#aerobic exercise#watching television#alcohol use#hygiene#social life#occupational activity#personal hygiene	285529	25	2009	2023	0.00019962945970461844
MESH	Medical Subject Headings	0.5	125	0.2455795677799607	pesticide residues#physical activities#processed foods#video games#tobacco use#employment status#physical exercise#occupational status#sleep#dietary habits#sleep duration#vegetable products#fruits#beverages#illicit drug#developing country#eating behavior#tobacco#sedentary lifestyle#social context#phytochemical#economic factors#leisure#literacy#education level#sleep quantity#team sport#dream#occupational activity#physical fitness#dental hygiene#diet#heavy metal poisoning#radiation exposure#delta sleep#dietary fiber#physical inactivity#lower middle income country#alcohol consumption#dietary carbohydrate#psychological interventions#hand hygiene#developed country#alcoholic beverages#recreational drug#calorie intake#dioxin#education#housing#malnutrition#sleeping habits#sports#income#food#personal care products#paradoxical sleep#mobile phone use#performance-enhancing substance#smokeless tobacco#food habit#social environment#sleep habits#deep sleep#slavery#oral hygiene#socioeconomic factors#cognitive behavioral therapy#phytonutrient#xenobiotics#ionizing radiation#economic status#dietary fat#REM sleep#labor exploitation#household work#employment#radiation#housework#vegetables#processed food#food packaging#salary#illegal drug#developed nation#social factors#aerobic exercise#eating habits#hygiene#electromagnetic radiation#oral health#developing nation#socioeconomic status#macronutrient#household activities#recreational drug use#sleep quality#sanitation#micronutrient#sleep stage#cosmetic surgery#housing condition#social networking#environmental exposures#psychotherapy#psychoanalytic therapy#occupational exposure#performance-enhancing drug#food containers#smoking#physical activity#slow-wave sleep#social conditions#meditation#performance enhancing substance#gambling#household activity#caloric intake#working conditions#plastic surgery#dental implant#vitamin#food additive#social status#substance use#wage	352426	26	2009	2023	0.00035468438764449844
NCIT	National Cancer Institute Thesaurus	0.5	81	0.15913555992141454	dietary mineral#tobacco use#calorie#employment status#sleep#exercise intensity#illicit drug use#pesticide exposure#household income#tobacco#sedentary lifestyle#exposure to radiation#phytochemical#leisure#exercise type#literacy#education level#dream#dental hygiene#diet#radiation exposure#dietary fiber#alcohol consumption#dietary carbohydrate#watching TV#household wealth#dust exposure#recreational drug#dioxin#environmental factors#education#nutrition#malnutrition#housing#energy#sports#income#food#smoking tobacco#rapid eye movement sleep#smokeless tobacco#alcohol use#oral hygiene#socioeconomic factors#ionizing radiation#dietary fat#chemical exposure#REM sleep#employment#radiation#housework#recreational activities#bedtime#aerobic exercise#hygiene#leisure time#electromagnetic radiation#urbanized area#socioeconomic status#macronutrient#socializing#recreational drug use#sleep quality#micronutrient#sleep stage#cosmetic surgery#social networking#environmental exposures#psychotherapy#occupational exposure#CBT#physical activity#smoking#meditation#household activity#caloric intake#plastic surgery#dental implant#vitamin#substance use#wage	188862	140	2007	2023	0.00042888458239349366
APAONTO	Psychology Ontology	0.0	37	0.07269155206286837	dental health#socioeconomic status#slavery#activity level#traveling#NREM sleep#oral health#employment status#occupational status#chemical exposure#REM sleep#psychotherapy#alcoholic beverages#occupational exposure#sleep#fluid intake#education#nutrition#physical activity#housing#radiation#television viewing#religiosity#sports#eating behavior#meditation#food#gambling#working conditions#plastic surgery#literacy#smokeless tobacco#drug usage#aerobic exercise#hygiene#leisure time#physical fitness	6037	4	2014	2014	0.00612887195626967
ASDPTO	Autism Spectrum Disorder Phenotype Ontology	0.0	2	0.003929273084479371	hygiene#smoking	284	1	2014	2014	0.0
OCHV	Ontology of Consumer Health Vocabulary	0.0	144	0.2829076620825147	pesticide residues#physical activities#dietary mineral#video games#tobacco use#calorie#physical exercise#occupational status#mineral supplement#sleep#dietary habits#sleep duration#illicit drug use#fruits#beverages#environmental risk factors#illicit drug#exercise activity#urban area#developing country#eating behavior#tobacco#exposure to radiation#social context#phytochemical#toxic chemical#economic factors#environmental hazards#leisure#literacy#education level#drug usage#urban environment#dream#occupational activity#dental hygiene#personal hygiene#physical fitness#dental health#diet#heavy metal poisoning#radiation exposure#delta sleep#dietary fiber#activity level#psychological therapy#alcohol consumption#dietary carbohydrate#traveling#dust exposure#developed country#dietary fibre#alcoholic beverages#active sleep#recreational drug#dioxin#environmental factors#education#nutrition#malnutrition#housing#energy#exercise frequency#religiosity#betting#sports#income#mental health care#food#paradoxical sleep#smoking tobacco#socioeconomic#rapid eye movement sleep#ionising radiation exposure#smokeless tobacco#alcohol use#food habit#deep sleep#doping#drinking alcohol#oral hygiene#socioeconomic factors#cognitive behavioral therapy#NREM sleep#xenobiotics#eating patterns#ionizing radiation#economic status#dietary fat#chemical exposure#REM sleep#fluid intake#employment#radiation#housework#vegetables#hard drug#processed food#salary#cleanliness#illegal drug#drug use#bedtime#aerobic exercise#eating habits#hygiene#vitamin intake#dieting#leisure time#chemical poisoning#oral health#electromagnetic radiation#poor nutrition#socioeconomic status#pesticide poisoning#recreational drug use#sleep quality#sanitation#micronutrient#sleep stage#cosmetic surgery#environmental exposures#sweets#psychotherapy#occupational exposure#jobs#food containers#smoking#physical activity#television viewing#meditation#pet ownership#gambling#caloric intake#working conditions#plastic surgery#dental implant#vitamin#food additive#social status#substance use#social life#individual sport#wage	115645	2	2016	2016	0.0012451900211855247
IOBC	Interlinking Ontology for Biological Concepts	0.0	98	0.1925343811394892	fat content#pesticide residues#cognitive-behavioural therapy#anaerobic exercise#physical exercise#aesthetic surgery#sleep#exercise intensity#vegetable products#pesticide exposure#beverages#illicit drug#developing country#eating behavior#tobacco#phytochemical#environmental hazards#dream#physical fitness#dental hygiene#personal hygiene#dental health#diet#heavy metal poisoning#radiation exposure#dietary fiber#physical inactivity#alcohol consumption#psychological interventions#hand hygiene#dietary fibre#alcoholic beverages#recreational drug#education#nutrition#malnutrition#sleeping habits#housing#sleep environment#energy#exercise frequency#heavy metal toxicity#sports#eating behaviour#oral care#food#mental health care#paradoxical sleep#rapid eye movement sleep#smokeless tobacco#alcohol use#food habit#oral hygiene#cognitive behavioral therapy#NREM sleep#xenobiotics#dietary fat#REM sleep#sleep time#environmental chemical#employment#metropolitan area#radiation#vegetables#chronic exposure#processed food#food packaging#illegal drug#drug use#bedtime#hygiene#dieting#chemical poisoning#oral health#electromagnetic radiation#poor nutrition#macronutrient#pesticide poisoning#sleep quality#sanitation#micronutrient#cosmetic surgery#psychotherapy#psychoanalytic therapy#occupational exposure#high-intensity exercise#physical activity#smoking#slow-wave sleep#meditation#radioactive contamination#caloric intake#plastic surgery#dental implant#vitamin#food additive#environmental risk#non-REM sleep	126847	11	2018	2021	0.0007725842944649854
GSSO	Gender, Sex, and Sexual Orientation Ontology	0.0	31	0.060903732809430254	socioeconomic status#slavery#cognitive behavioral therapy#recreational drug use#social networking#chemical exposure#psychotherapy#recreational drug#performance-enhancing drug#education#housing#physical activity#employment#metropolitan area#urban area#food#salary#performance-enhancing substance#electronic game#religious practice#plastic surgery#drug use#leisure#literacy#social status#substance use#alcohol use#hygiene#dream#personal hygiene#wage	13192	74	2019	2022	0.00234990903577926
BERO	Biological and Environmental Research Ontology	0.0	47	0.09233791748526522	pesticide residues#radiation exposure#dietary fiber#macronutrient#oral hygiene#dietary mineral#video games#sanitation#physical fitness#phytonutrient#micronutrient#dietary carbohydrate#xenobiotics#hand hygiene#ionizing radiation#chemical exposure#environmental condition#occupational exposure#sleep#dioxin#vegetable products#nutrition#malnutrition#pesticide exposure#physical activity#energy#housing#radiation#urban area#vegetables#sports#eating behavior#eating behaviour#food#paradoxical sleep#tobacco#smoking tobacco#phytochemical#leisure#dental implant#smokeless tobacco#vitamin#food additive#hygiene#toxic agent#electromagnetic radiation#dental hygiene	392307	3	2022	2022	0.00011980413298768566
COVID-19	COVID-19 Ontology	0.0	2	0.003929273084479371	hand hygiene#hygiene	2270	4	2020	2020	0.0
PLOSTHES	PLOS Thesaurus	0.0	33	0.06483300589390963	diet#radiation exposure#video games#alcohol consumption#recreational drug use#sanitation#physical fitness#ionizing radiation#psychotherapy#alcoholic beverages#sleep#jobs#education#nutrition#malnutrition#fruits#beverages#physical activity#housing#radiation#employment#vegetables#sports#food#gambling#tobacco#literacy#aerobic exercise#relaxation time#eating habits#hygiene#electromagnetic radiation#oral health	4	4	2015	2017	0.0
MDM	Mapping of Drug Names and MeSH 2022	0.0	117	0.22986247544204322	pesticide residues#physical activities#video games#tobacco use#employment status#physical exercise#occupational status#sleep#dietary habits#vegetable products#fruits#beverages#illicit drug#developing country#eating behavior#tobacco#sedentary lifestyle#social context#phytochemical#economic factors#leisure#literacy#team sport#dream#physical fitness#dental hygiene#diet#heavy metal poisoning#radiation exposure#delta sleep#dietary fiber#physical inactivity#alcohol consumption#dietary carbohydrate#psychological interventions#hand hygiene#developed country#alcoholic beverages#recreational drug#calorie intake#dioxin#education#housing#malnutrition#sleeping habits#sports#income#food#personal care products#paradoxical sleep#mobile phone use#performance-enhancing substance#smokeless tobacco#food habit#social environment#sleep habits#deep sleep#slavery#oral hygiene#socioeconomic factors#cognitive behavioral therapy#phytonutrient#xenobiotics#ionizing radiation#economic status#dietary fat#REM sleep#labor exploitation#household work#employment#radiation#housework#vegetables#food packaging#salary#illegal drug#developed nation#social factors#aerobic exercise#eating habits#hygiene#electromagnetic radiation#oral health#developing nation#socioeconomic status#macronutrient#household activities#recreational drug use#sleep quality#sanitation#micronutrient#sleep stage#cosmetic surgery#housing condition#social networking#environmental exposures#psychotherapy#psychoanalytic therapy#occupational exposure#performance-enhancing drug#food containers#smoking#physical activity#slow-wave sleep#social conditions#meditation#performance enhancing substance#gambling#household activity#caloric intake#plastic surgery#dental implant#vitamin#food additive#social status#substance use#wage	44789	5	2021	2022	0.0026122485431690815
ADAR	Autism DSM-ADI-R ontology	0.0	1	0.0019646365422396855	hygiene	791	1	2015	2015	0.0
RH-MESH	Robert Hoehndorf Version of MeSH	0.0	40	0.07858546168958742	pesticide residues#diet#slavery#dietary fiber#oral hygiene#socioeconomic factors#video games#tobacco use#sanitation#physical fitness#xenobiotics#hand hygiene#social networking#psychotherapy#alcoholic beverages#occupational exposure#psychoanalytic therapy#sleep#education#housing#malnutrition#smoking#beverages#employment#radiation#vegetables#heavy metal toxicity#sports#income#social conditions#food packaging#food#meditation#gambling#tobacco#sedentary lifestyle#hygiene#social environment#electromagnetic radiation#oral health	305349	3	2012	2014	0.00013099764531732542
OMIT	Ontology for MicroRNA Target	0.0	42	0.0825147347740668	pesticide residues#diet#slavery#radiation exposure#dietary fiber#oral hygiene#socioeconomic factors#video games#tobacco use#sanitation#physical fitness#xenobiotics#hand hygiene#social networking#psychotherapy#alcoholic beverages#occupational exposure#psychoanalytic therapy#sleep#vegetable products#education#malnutrition#smoking#beverages#housing#employment#radiation#vegetables#sports#income#social conditions#food packaging#food#meditation#gambling#tobacco#sedentary lifestyle#literacy#hygiene#social environment#electromagnetic radiation#oral health	90916	41	2010	2021	0.0004619648906683092
EPIO	EpilepsyOntology	0.0	7	0.0137524557956778	REM sleep#psychotherapy#alcohol consumption#paradoxical sleep#hygiene#CBT#rapid eye movement sleep	1916	1	2021	2021	0.0036534446764091857
UPHENO	Combined Phenotype Ontology	0.0	21	0.0412573673870334	macronutrient#alcohol consumption#micronutrient#xenobiotics#sleeping behavior#REM sleep#environmental condition#sleep#sleep duration#malnutrition#radiation#eating behavior#eating behaviour#food#paradoxical sleep#rapid eye movement sleep#vitamin#food additive#hygiene#toxic agent#electromagnetic radiation	172043	4	2012	2021	0.00012206250762890672
NBO	Neuro Behavior Ontology	0.0	13	0.025540275049115914	sleeping behavior#macronutrient#food additive#eating behavior#eating behaviour#REM sleep#food#alcohol consumption#sleep#hygiene#paradoxical sleep#sleep duration#rapid eye movement sleep	4548	38	2011	2023	0.0028583992963940193
NIFSTD	Neuroscience Information Framework (NIF) Standard Ontology	0.0	21	0.0412573673870334	macronutrient#micronutrient#xenobiotics#sleep#education#smoking#energy#eating behavior#eating behaviour#food#tobacco#social context#drug use#vitamin#food additive#drug usage#substance use#relaxation time#hygiene#toxic agent#dream	177630	24	2007	2018	0.00011822327309576085
UBERON	Uber Anatomy Ontology	0.0	8	0.015717092337917484	macronutrient#food additive#eating behaviour#food#sleep#hygiene#toxic agent#micronutrient	26365	325	2008	2024	0.00030343258107339276
MEDDRA	Medical Dictionary for Regulatory Activities Terminology (MedDRA)	0.5	21	0.0412573673870334	heavy metal poisoning#radiation exposure#oral hygiene#pesticide poisoning#cognitive behavioral therapy#tobacco use#recreational drug use#exposure to toxic agent#chemical exposure#psychotherapy#malnutrition#food#gambling#exposure to radiation#plastic surgery#chemical poisoning#vitamin#substance use#alcohol use#occupational activity#personal hygiene	78822	22	2013	2023	0.00026642307985080306
SYN	Sage Bionetworks Synapse Ontology	0.0	12	0.023575638506876228	leisure#social networking#vitamin#oral hygiene#aerobic exercise#psychotherapy#alcohol consumption#tobacco use#socializing#sedentary lifestyle#household activity#physical activity	14462	3	2011	2012	0.0008297607523164155
SNOMEDCT	SNOMED CT	0.5	67	0.13163064833005894	occupational activity#diet#oral hygiene#pesticide poisoning#tobacco use#deep sleep#traveling#cosmetic surgery#calorie#travelling#NREM sleep#ionizing radiation#economic status#employment status#physical exercise#cognitive-behaviour therapy#mineral supplement#sweets#REM sleep#lack of physical exercise#active sleep#psychotherapy#sleep#fluid intake#calorie intake#dioxin#illicit drug use#exposure to ionizing radiation#education#nutrition#malnutrition#smoking#physical activity#physical environment#household income#radiation#housework#religiosity#cognitive-behavior therapy#sports#processed food#mental health care#food#pet ownership#gambling#paradoxical sleep#tobacco#sedentary lifestyle#exposure to radiation#social context#phytochemical#toxic chemical#rapid eye movement sleep#financial status#plastic surgery#exposure to vibration#chemical poisoning#vitamin#food additive#bedtime#social status#urban environment#vitamin intake#exposed to vibration#dream#electromagnetic radiation#dental hygiene	367827	27	2009	2023	0.00018215084808891136
NPI	Non-Pharmacological Interventions (NPIs)	0.0	6	0.011787819253438114	physical exercise#oral hygiene#aerobic exercise#psychotherapy#cognitive-behavioural therapy#physical activity	45	5	2016	2018	0.0
MEDLINEPLUS	MedlinePlus Health Topics	0.5	19	0.03732809430255403	dental health#radiation exposure#dietary fiber#alcohol consumption#cosmetic surgery#oral health#carbs#nutrition#malnutrition#smoking#cleaning products#food#gambling#sedentary lifestyle#smokeless tobacco#vitamin#dieting#occupational activity#physical fitness	2266	21	2013	2023	0.008384819064430714
CRISP	Computer Retrieval of Information on Scientific Projects Thesaurus	0.5	49	0.0962671905697446	occupational activity#dental health#diet#drinking alcohol#dietary fiber#dietary mineral#sanitation#physical fitness#dietary carbohydrate#cosmetic surgery#ionizing radiation#dietary fat#REM sleep#psychotherapy#sleep#dioxin#CBT#education#nutrition#malnutrition#smoking#housing#employment#radiation#urban area#sports#income#meditation#food#gambling#paradoxical sleep#tobacco#salary#smoking tobacco#food chain contamination#rapid eye movement sleep#plastic surgery#leisure#literacy#dental implant#smokeless tobacco#vitamin#food additive#social status#aerobic exercise#social environment#dream#electromagnetic radiation#oral health	9039	22	2013	2023	0.005420953645314747
ONTOAD	Bilingual Ontology of Alzheimer's Disease and Related Diseases	0.0	56	0.1100196463654224	dental health#poor nutrition#diet#drinking alcohol#physical activities#dietary mineral#cognitive behavioral therapy#tobacco use#recreational drug use#micronutrient#calorie#carbs#physical exercise#developed country#dietary fat#mineral supplement#psychotherapy#active sleep#occupational exposure#CBT#environmental factors#education#nutrition#malnutrition#smoking#beverages#environmental risk factors#pesticide exposure#radiation#physical activity#betting#developing country#sports#eating behavior#food#paradoxical sleep#tobacco#household activity#social context#phytochemical#caloric intake#toxic chemical#rapid eye movement sleep#drug use#leisure#vitamin#education level#social status#aerobic exercise#urban environment#environmental risk#alcohol use#vitamin intake#social environment#occupational activity#oral health	5899	2	2013	2013	0.009493134429564332
OLAM	Ontology of Laboratory Animal Medicine	0.0	1	0.0019646365422396855	sanitation	209	6	2019	2021	0.0
OPMI	Ontology of Precision Medicine and Investigation	0.0	9	0.01768172888015717	household income#socioeconomic status#radiation#employment status#urban area#education level#income#socioeconomic factors#sanitation	3149	26	2018	2022	0.0028580501746586218
PDRO	The Prescription of Drugs Ontology	0.0	17	0.03339882121807466	household income#energy#xenobiotics#radiation#socioeconomic status#employment status#urban area#vitamin#macronutrient#food additive#socioeconomic factors#education level#income#sanitation#toxic agent#micronutrient#calorie	691364	9	2016	2020	2.458907319443882e-05
